text,span,label,ordinal
"Makanan yang enak, pelayanan yang ramah, suasana yang bagus untuk berkumpul bersama keluarga ataupun rekan",pelayanan,positif,0
Dari segi tempat McDonald's bandung batu ini sangat strategis karena di jalan utama yang ramai dan akses yang sangat gampang di jangkau. …,tempat,positif,0
Tempat favorit anak karena dia senang makan burger McDonalds apalagi ada tempat mainnya 👍 …,Tempat,positif,1
Tempatnya asik buat makan maupun sekedar nongkrong bersama keluarga dan teman-teman. Fasilitas sangat baik dan pelayanan juga ramah.,Tempatnya,positif,0
Tempatnya asik buat makan maupun sekedar nongkrong bersama keluarga dan teman-teman. Fasilitas sangat baik dan pelayanan juga ramah.,pelayanan,positif,0
"Tempatnya asik buat makan dan nongkrong sama teman maupun keluarga, pelayananny juga ramah dan sangat memuaskan",Tempatnya,positif,0
"Tempatnya asik buat makan dan nongkrong sama teman maupun keluarga, pelayanannya juga ramah dan sangat memuaskan",pelayanannya,positif,0
"Saya baru-baru ini mengunjungi McDonald's di Jl. Buah Batu No. 161 Bandung, dan saya harus mengatakan bahwa pengalaman saya di sana sungguh mengesankan. McDonald's ini adalah salah satu tempat makan favorit saya, dan cabang ini tidak …",tempat,positif,0
Suka sekali sama makanannya... Tempat makannya nyaman dan bersih pelayanan nya super cepat dan ramah,Tempat,positif,0
Suka sekali sama makanannya... Tempat makannya nyaman dan bersih pelayanan nya super cepat dan ramah,pelayanan,positif,0
Enak si buat nongkrong sambil nugas. Makanannya ya kaya mcd pada umumnya. Tapi tempatnya yang strategis enak banget si...,tempatnya,positif,0
"Hari minggu kemarin mampir ke bandung, lagi pengen makan MCD di buah batu, tempatnya bersih, pelayanan sangat ramah dan cepat. Ada tempat bermain anak-anak, membuat anak-anakku betah dan nyaman makan disini. Ada drive thru dan juga dine in. Memuaskan sekali 😍 …",tempatnya,positif,1
"Hari minggu kemarin mampir ke bandung, lagi pengen makan MCD di buah batu, tempatnya bersih, pelayanan sangat ramah dan cepat. Ada tempat bermain anak-anak, membuat anak-anakku betah dan nyaman makan disini. Ada drive thru dan juga dine in. Memuaskan sekali 😍 …",pelayanan,positif,0
"Sangat istimewa banget.. dari pelayanan penyajian dan tempat juga bersih2 semua
Area parkir luass
Pokonya buat acara keluarga at mkn sendiri juga asyikk
Yg belom coba ayooo ke McD di jamin g bakalan nyesel dan pulang keyang 😀😀 …",pelayanan,positif,0
"Sangat istimewa banget.. dari pelayanan penyajian dan tempat juga bersih2 semua
Area parkir luass
Pokonya buat acara keluarga at mkn sendiri juga asyikk
Yg belom coba ayooo ke McD di jamin g bakalan nyesel dan pulang keyang 😀😀 …",tempat,positif,0
"Mantap sekali, rasa yg pas harga hemat",rasa,positif,0
"Mantap sekali, rasa yg pas harga hemat",harga,positif,0
"Pelayanan DriveThru terburuk!!! Parkiran jg sempit gak bs keluar kalo batal drive thru.  Ngantri drive thru 1 jam! Gak abis pikir. Tolong deh diperbaiki. Jika memang gak bs melayani, kasi tau dan segera ditutup drpd orang menunggu lama. Tolong banget management McD buah batu diperhatikan",Pelayanan,negatif,0
"Mampir ke sini bareng temen mau makan siang, tempat nya menjorok kedalam, tatanan design nya MCD semua standard sesuai dengan kapasitas lahan nya, tempatnya juga dijaga banget kebersihannya, pelayanannya bagus, kakak-kakak pelayannya juga …",tempat,netral,0
"Mampir ke sini bareng temen mau makan siang, tempat nya menjorok kedalam, tatanan design nya MCD semua standard sesuai dengan kapasitas lahan nya, tempatnya juga dijaga banget kebersihannya, pelayanannya bagus, kakak-kakak pelayannya juga …",tempatnya,positif,0
"Mampir ke sini bareng temen mau makan siang, tempat nya menjorok kedalam, tatanan design nya MCD semua standard sesuai dengan kapasitas lahan nya, tempatnya juga dijaga banget kebersihannya, pelayanannya bagus, kakak-kakak pelayannya juga …",pelayanannya,positif,0
"Waaaw bener-bener seenak itu, bumbunya terasa banget, paraaah banget kalian harus cobaa guysss",terasa,positif,0
"Tempat paling enak berkumpul bersama keluarga ketika sudah penat dengan masakan² yang itu² saja. Fasilitas OK, menunya favorit dari sejak saya kecil ☺️",tempat,positif,0
"Apa-apaan ini pelayanannya, pesen coke float doang sampe 32 menit. Dah gitu tadi datang workernya bilang ga ready sodanya, lah aturan dari awal pas payment di kasir langsung ngomong kalo ada mulut & otak. Kek gitu lalu nyuruh aku konfir ke kasir, …",pelayanannya,negatif,0
"Tempat yang paling nyaman dengan makanan enak yang cepat saji... Suasananya nyaman cocok buat keluarga, teman ngumpul atau teman kerja",Tempat,positif,0
"Setelah pindah ke tempat yang baru ini, mcd tambah keyen, drivethru nya juga ada, jadi bisa pesan dari mobil langsung, ga usah turun dari mobil, cocok di masa pandemi ini, parkir cukup luas, namun berada di pas kemacetan buahbatu kalau jam jam sibuk, semoga tetap mantap produknya mcd 👍 …",tempat,positif,0
"Makanan menu ayam yang disukai oleh anak-anak dan orang dewasa, variasi menu juga ada selain ayam. Service cukup secara ini adalah resto fast food, tidak banyak dilayani, konsep suasana sedikit sempit karena mungkin lahan yang kurang, tapi overall love it, sebagai tempat makan bersama keluarga",tempat,positif,0
"Pelayanan nya oke , raman dan tempatnya juga bersih .
Penyajian cepat
Rasa ayam original nya beda dari yang lain lebih gurih .
Suasananya juga cocok buat nongkrong sama teman teman .",Pelayanan,positif,0
"Pelayanan nya oke , raman dan tempatnya juga bersih .
Penyajian cepat
Rasa ayam original nya beda dari yang lain lebih gurih .
Suasananya juga cocok buat nongkrong sama teman teman .",tempatnya,positif,0
"Pelayanan nya oke , raman dan tempatnya juga bersih .
Penyajian cepat
Rasa ayam original nya beda dari yang lain lebih gurih .
Suasananya juga cocok buat nongkrong sama teman teman .",Rasa,positif,0
"Tempat Makan Sering Banget Dsini Guys Pelayan Nya GC Ga Lama,,Kga Bosen"" ,Next Ajak Kluarga😁 …",Tempat,positif,0
"McDonald’s adalah menjadi restoran cepat saji dengan pelayanan terbaik di dunia. Pelayanan dan menu yang disajikan sangat sesuai dengan semua kalangan dari orang tua, dewasa remaja hingga anak-anak. …",Pelayanan,positif,1
Cocok banget buat yg gak cuma makan siap saji tapi juga cari kenyamanan tempat. Desainnya mantul gak kaleng-kaleng dan bersiiiihhh pake banget. Lahan parkirnya juga oke luas gaess. Soal pelayanan udah pasti ramah. Ada arena main anak-anak …,tempat,positif,0
Cocok banget buat yg gak cuma makan siap saji tapi juga cari kenyamanan tempat. Desainnya mantul gak kaleng-kaleng dan bersiiiihhh pake banget. Lahan parkirnya juga oke luas gaess. Soal pelayanan udah pasti ramah. Ada arena main anak-anak …,pelayanan,positif,0
"Makanan yang tidak perlu diragukan lagi,karna kualitas dan rasanya oke👍👍👍 …",rasanya,positif,0
"so one of the favorite restaurants,
Menu nya banyak fariant, terdapat tempat bermain untuk anak juga,. …",tempat,positif,0
"Tempatnya strategis, cozy, kids frendly salah satu mcd di bandung paling the best si menurutku. Buat tempat nongkrong juga seru, good choice lah",Tempatnya,positif,0
"Tempatnya strategis, cozy, kids frendly salah satu mcd di bandung paling the best si menurutku. Buat tempat nongkrong juga seru, good choice lah",tempat,positif,0
McDonald's memang terkenal sebagai tempat makan yang nyaman dan merindukan karena menu&rasanya tidak membosankan. Dan hargapun relatif terjangkau.,tempat,positif,0
McDonald's memang terkenal sebagai tempat makan yang nyaman dan merindukan karena menu&rasanya tidak membosankan. Dan hargapun relatif terjangkau.,rasanya,positif,0
McDonald's memang terkenal sebagai tempat makan yang nyaman dan merindukan karena menu&rasanya tidak membosankan. Dan hargapun relatif terjangkau.,hargapun,positif,0
"Makanan enak semua, tempat nyaman, the best",tempat,positif,0
Rekomendasi untuk restoran yang siap saji.... Dengan pelayanan yang sangat memuaskan dan kualitas bahan-bahan yang menarik dan tempat yang sangat representatif (bersih dan keamanan produk).,pelayanan,positif,0
Rekomendasi untuk restoran yang siap saji.... Dengan pelayanan yang sangat memuaskan dan kualitas bahan-bahan yang menarik dan tempat yang sangat representatif (bersih dan keamanan produk).,tempat,positif,0
"Tempat ini sangat strategis dan nyaman untuk bertemu keluarga maupun teman untuk menemani bersantai dengan menu"" yg tersedia, menunya banyak yg pastinya makanan nya enak cocok bngt pelayan nya ramah2 pokkok nya recoment bngt deh 🤗 …",Tempat,positif,0
"Tempat ini sangat strategis dan nyaman untuk bertemu keluarga maupun teman untuk menemani bersantai dengan menu"" yg tersedia, menunya banyak yg pastinya makanan nya enak cocok bngt pelayan nya ramah2 pokkok nya recoment bngt deh 🤗 …",pelayan,positif,0
"Over all ok...
Cm kmriin pesen menu paket ,rasa ayam crispyny agak asin.. smga kedepan lebih baik lg.",rasa,negatif,0
"MC Donald terbaik.
. Pesenan cepat gak pake ribet
. Pelayanannya cepat …",Pelayanannya,positif,0
"Resto cepat saji satu ini emang favorit bgt sih, kebetulan kesini nuker voucher dari aplikasi mcd lumayan dpt promonya menarik bgt,segini banyak harga cuma 50rb udah plus pajak y. Jd klo mau banyak promo menarik coba download aps mcdnya y.",harga,positif,0
"Saya sangat menyukai menu di McDonald's Karna saya penggemar Burger dan kentangnya yang membut saya ketagihan , Rasa masakan nya konsisten selalu memuaskan, dan menunya banyak pilihan bisa untuk acara apapun , sukses terus McDonald's semoga tambah cabang dimana mana bisa di jangkau 🤗 …",Rasa,positif,0
"Mampir makan bareng keluarga,, cukip memuaskan rasa dan pelayanan nya",rasa,positif,0
"Mampir makan bareng keluarga,, cukip memuaskan rasa dan pelayanan nya",pelayanan,positif,0
Suasana dan Tempat makannya keren dan pas bikin nyaman pokoknya,Tempat,positif,0
Macdonalds tempat makanan favorit saya sekeluarga bayak promo yang menarik istri suka anak pun suka tempat nyaman,tempat,positif,1
"Mc Flurry Matcha rasanya enak banget lah asli...
Tolong kasih lebih banyak cookies nya,karena itu enak banget",rasanya,positif,0
"Di sini termasuk store McD ternyaman, bersih, cozy.. cocok buat makan or ngemil sambil kerja. Waiters-nya juga ramah, bantu customer buat order & bayar pakai order machine. Pokonya suka, semoga McD store yang lain juga bisa sebaik di Buah Batu ini pelayanannya.. Thankss",pelayanannya,positif,0
"McDonald Bandung Buah Batu yang beralamat di Jln. Buahbatu No 183-185, Bandung 40264, Indonesia ini, tergolong tempat yang ramai dan selalu hidup. Para pengunjuang setiap hari silih berganti, bahkan ada beberapa kelompok anak muda yang sampai berjam – …",tempat,positif,0
"Pertama kali coba  McDonald's di gorontalo makanan enak, pelayanan sangat ramah sekali, pegwainya murah senyum 😊 dan tempatnya sangat nyaman. Kapan2 aku pengen balik lagi kesini 😘 …",pelayanan,positif,0
"Pertama kali coba  McDonald's di gorontalo makanan enak, pelayanan sangat ramah sekali, pegwainya murah senyum 😊 dan tempatnya sangat nyaman. Kapan2 aku pengen balik lagi kesini 😘 …",tempatnya,positif,0
"Ini mba2nya supuer helpfull, karena kesana serombongan ber10 orang, mbanya bantu take tempat, gesit ketika dimintai bantuan. …",tempat,netral,0
"McD paling jelek sekota Palembang, padahal di Komplek Perumahan Elit. Pelayanan lama, padahal nggak rame tapi pesanan kita baru datang setelah hampir 30 menit dari kita bayar.",Pelayanan,positif,0
"Lagi buru2,waktu ditambah hampir kesiangan persentasi, untung dekat tempat ini,jadi mampir dulu yg penting perut ke isi...",tempat,positif,0
"Tempat yang bagus buat kerja haha, biar lebih fokus, saran duduk di dekat parkiran mobil, karena jarang orang yang melintas, cukup ganggu",Tempat,positif,0
"Tempat nya nyaman bersi dan rapi..
Pelayanan nya jg oke menunya enak pas dikatong cocok ni buat ajak keluarga,kerabat,sahabat dan gebetan",Tempat,positif,0
"Tempat nya nyaman bersi dan rapi..
Pelayanan nya jg oke menunya enak pas dikatong cocok ni buat ajak keluarga,kerabat,sahabat dan gebetan",Pelayanan,positif,0
"Tempat nya nyaman bagi kalian yang mau rayain hari istimewa seperti ulang tahun bersama s kecil juga bisa lohh , dengan tema super hero ,pasilitas cuman mulai dari 12.500 aja loh y",Tempat,positif,0
"Tempat yg nyaman dan bersih  paling enak bersama teman atau keluarga besar, pacar juga boleh....",Tempat,positif,0
Tambah lama tambah parah pelayanan online,pelayanan,negatif,0
Tempatnya enak untuk kumpul keluarga dan cepet kalau mau take away. Bersih & dan staff nya ramah,Tempatnya,positif,0
"Sangat recommended deh buat temen yang ingin jajan diakhir bulan atau pas gajian pelayanan nya bagus ,suasana nya enak makanan pun enak enak walaupun selera orang beda beda hhe",pelayanan,positif,0
Makanannya enak pelayanannya cepat,pelayanannya,positif,0
"Tempatnya nyaman banget, luas juga. Cocok buat makan bareng temen, pasangan, dan juga bisa bareng keluarga besar. Ada mini playgroundnya juga. Drive thru juga bisa. Mantap banget deh pokoknya👍 …",Tempatnya,positif,0
Tempatnya nyaman pelayanan ramah dan makanan enak,Tempatnya,positif,0
Tempatnya nyaman pelayanan ramah dan makanan enak,pelayanan,positif,0
"Enak makanannya porsinya banyak sesuai dengan harga, seru juga liat pas bikin mie nya",harga,positif,0
"Recommended bgt, tempatnya strategis dan asik buat kumpul sama teman teman",tempatnya,positif,0
tempat yg nyaman untuk makan..pelayanan cepat..tempat bersih dan harga tjangkau..recomended dah👍 …,tempat,positif,1
tempat yg nyaman untuk makan..pelayanan cepat..tempat bersih dan harga tjangkau..recomended dah👍 …,pelayanan,positif,0
tempat yg nyaman untuk makan..pelayanan cepat..tempat bersih dan harga tjangkau..recomended dah👍 …,harga,positif,0
"Tempat nyaman, pelayanan sangatlah baik, penyajian cepat, kualitas makanan terjaga dan bersih",Tempat,positif,0
"Tempat nyaman, pelayanan sangatlah baik, penyajian cepat, kualitas makanan terjaga dan bersih",pelayanan,positif,0
Wah pokoknya di sini recommend banget untuk makan bersam keluarga ataupun sendiri.....luar bisa dri segi pelayanannya yg ramah dan makaananya enak enak👍👍👍 …,pelayanannya,positif,0
"Restoran ini sangat bagus, tempatnya nyaman, pelayanan yang memuaskan , ramah anak, dan cocok untuk rapat, nongkrong,",tempatnya,positif,0
"Restoran ini sangat bagus, tempatnya nyaman, pelayanan yang memuaskan , ramah anak, dan cocok untuk rapat, nongkrong,",pelayanan,positif,0
Enak buat tempat makan bareng sama anak2... Di kondisi covid ini... Mvd pengamanan nya bagus bngt... Jaga jarak antar meja2...,tempat,positif,0
"Aku sih emang tim McD, tempatnya enakeunn, bersih, mba/masnya juga sigap untuk beresin meja yg udh selesai pake",tempatnya,positif,0
Sebenarnya siapa yg gak suka sama mcd dan stuju kalau makanannya enak krn kita sudah terbiasa dgn rasanya. Sayangnya kasir mcd kemarin product knowledge nya sangat kurang. Garagara dia salah kasih tau saya . Saya jadi pesen yg bukan saya …,rasanya,positif,0
"Dari dulu sampai sekarang masih tetap terjaga rasa n pelayanan nya, ditambah sering ada promo baik online atau langsung dan klo ke Bandung suka mampir kesini👌 …",rasa,positif,0
"Dari dulu sampai sekarang masih tetap terjaga rasa n pelayanan nya, ditambah sering ada promo baik online atau langsung dan klo ke Bandung suka mampir kesini👌 …",pelayanan,positif,0
Pelayanan selalu memuaskan dan jika datang ke bandung selalu mampir kesini.tempat bersih dan juga menu nya yang selalu ready....,Pelayanan,positif,0
Pelayanan selalu memuaskan dan jika datang ke bandung selalu mampir kesini.tempat bersih dan juga menu nya yang selalu ready....,tempat,positif,0
"Setibanya di Bandung karena kita ada janjian pertemuan membahas pekerjaan maka kita mampir di restoran Mc D ini, tempat nya menjorok kedalam, tatanan design nya Mc D semua standard sesuai dengan kapasitas lahan nya. Disini memiliki tempat …",tempat,netral,1
"Nice. Pelayanan cepat, parkir luas. Drive",Pelayanan,positif,0
"Free wifi pastinya poin utama wkwk, tempatnya selalu penuh walaupun weekday. Pesen dari aplikasi McDonal's biar dapet potongan tambahan",tempatnya,netral,0
"Tempat nya rekomended sekali,nyaman,pelayanan nya bagus,makannya the best sangat buat keluarga bersantai",Tempat,positif,0
"Tempat nya rekomended sekali,nyaman,pelayanan nya bagus,makannya the best sangat buat keluarga bersantai",pelayanan,positif,0
"Tempat nya bersih, pelayanan sangat cepat dan ramah. Yok merapat",Tempat,positif,0
"Tempat nya bersih, pelayanan sangat cepat dan ramah. Yok merapat",pelayanan,positif,0
"kebersihan oke dan harganya terjangkau, pelayanan ramah... have fun makan di sini",harganya,positif,0
"kebersihan oke dan harganya terjangkau, pelayanan ramah... have fun makan di sini",pelayanan,positif,0
"Rasanya sangat lezat saya sangat suka tempat makanan cepat saji ini, salah satu favorit saya 😍 …",Rasanya,positif,0
"Rasanya sangat lezat saya sangat suka tempat makanan cepat saji ini, salah satu favorit saya 😍 …",tempat,positif,0
"Tempatnya nyaman dan luas ada playground jg buat anak2, anak sy pling suka diajak ke MCD seperti biasa paket panas favoritnya,,chesse burger OK jg",Tempatnya,positif,0
"Tempatnya sangat bagus, harganya terjangkau, makanannya juga enak semua pokok nggk rugi kalau kalian kesini ayo cobain",Tempatnya,positif,0
"Tempatnya sangat bagus, harganya terjangkau, makanannya juga enak semua pokok nggk rugi kalau kalian kesini ayo cobain",harganya,positif,0
"Tempatnya enak, pelayanan ramah dan cepat. Makanan sama minuman ga usah ditanya lah ya, dah pasti enak juga.",Tempatnya,positif,0
"Tempatnya enak, pelayanan ramah dan cepat. Makanan sama minuman ga usah ditanya lah ya, dah pasti enak juga.",pelayanan,positif,0
"Pake aplikasi banyak penawaran yang harganya cocok untuk anak kost😍 Pelayanan pun ramah, kebersihan number one. Best lah pokonya!! …",harganya,positif,0
"Pake aplikasi banyak penawaran yang harganya cocok untuk anak kost😍 Pelayanan pun ramah, kebersihan number one. Best lah pokonya!! …",Pelayanan,positif,0
"Menu yang kami pesan rasanya enak,tempatnya bersih dan nyaman",rasanya,netral,0
"Menu yang kami pesan rasanya enak,tempatnya bersih dan nyaman",tempatnya,netral,0
"Tempat makan exclusive, dengan partber bisnis. Sangat representative. Beragam pilihan menu makanan dan minuman. Secara konsep, rasa dan suasana istimewa di Mc D sini.",Tempat,positif,0
"Tempat makan exclusive, dengan partber bisnis. Sangat representative. Beragam pilihan menu makanan dan minuman. Secara konsep, rasa dan suasana istimewa di Mc D sini.",rasa,positif,0
cepet banget pelayanan nya. Tempat nya nyaman.  Anak betah lama lama. Staff baikkkk banget dan komunikatif. Thanks,pelayanan,positif,0
cepet banget pelayanan nya. Tempat nya nyaman.  Anak betah lama lama. Staff baikkkk banget dan komunikatif. Thanks,Tempat,positif,0
"Beli paketan burger + kentang memang lengkap tp maaf saja kentangnya seperti kentang goreng kembali, rasanya ga fresh, keras malah pahit
Tolong dong maksimalkan mutu kualitasnya, masa mentang2 udh ramai pembeli kualitas kentang jd turun",rasanya,negatif,0
"pelayanan cepat dan baik
untuk makan sangat siap saji dan enak
suasana nya bersih nyaman dan anak anak biaa main di tempat permainnya",pelayanan,positif,0
"pelayanan cepat dan baik
untuk makan sangat siap saji dan enak
suasana nya bersih nyaman dan anak anak biaa main di tempat permainnya",tempat,positif,0
"McDonalds dpt menjadi salah satu alternatif dalam menyediakan sarapan, dengan menawarkan berbagai paket yang menarik sehingga membuat saya penasaran dngn paket menarik lainnya. Baik dari makanan, pelayanan dan suasana sangat direkomendasikan.",pelayanan,positif,0
"Tempat nya stategis dan Cozy banget, setiap acara keluarga selalu kesini terus.
Nyaman buat anak anak dan Dewasa.
Menu Ayam spicy nya bener2 Maknyus. …",Tempat,positif,0
tempatnya nyaman bgt buat nongkrong bareng temen dan keluarga. pelayanannya juga ramah dan cepat. harga cocok buat pelajar,tempatnya,positif,0
tempatnya nyaman bgt buat nongkrong bareng temen dan keluarga. pelayanannya juga ramah dan cepat. harga cocok buat pelajar,pelayanannya,positif,0
McDonald's menyajikan berbagai macam makanan yang sangat enakk sekali. Pelayanannya sangat baik dan tempatnya sangat nyaman dan bersih juga. Pokoknya enak nihh buat kesana❤❤❤,Pelayanannya,positif,0
McDonald's menyajikan berbagai macam makanan yang sangat enakk sekali. Pelayanannya sangat baik dan tempatnya sangat nyaman dan bersih juga. Pokoknya enak nihh buat kesana❤❤❤,tempatnya,positif,0
"Jujur agaa kecewa, padahal dari 2020 ni tempat udh jadi safeplace nya gue. Gamau review panjang lebar cuman mau saran aja masalah pelanan membantu cust nya aja",tempat,positif,0
"Tempat ini sangat strategis dan nyaman untuk bertemu keluarga maupun teman untuk menemani bersantai dengan menu"" yg tersedia,bisa ngemil dan bisa membicarakan soal bisnis,menunya banyak yg pastinya makanan nya enak cocok untuk memanjakan lidah 🥰🥰😍 …",Tempat,positif,0
"Makanan penyelamat dan paling aman buat si kecil klo lg bingung mau makan apa... menu ga pernah mengecewakan, service cepet karena memang fast food. Tempatnya juga okeee.. never failed..",Tempatnya,positif,0
"Tempatnya nyaman, pelayanan ramah dan cepat nnnn semua menu enak",Tempatnya,positif,0
"Tempatnya nyaman, pelayanan ramah dan cepat nnnn semua menu enak",pelayanan,positif,0
"Pelayanan memuaskan, enak banget saya rekomendasikan makan disini aja kualitas pasti terjamin",Pelayanan,positif,0
"Makanan ok untuk harga terjangkau, pelayanan jg ramah dan cepat. Tempat ok buat nongkrong sama temen",harga,positif,0
"Makanan ok untuk harga terjangkau, pelayanan jg ramah dan cepat. Tempat ok buat nongkrong sama temen",pelayanan,positif,0
"Makanan ok untuk harga terjangkau, pelayanan jg ramah dan cepat. Tempat ok buat nongkrong sama temen",Tempat,positif,0
"MC Donald terrekomend banget
- Penyajiannya sangatlah cepat gak pake ribet ini itu
- Cocok buat acara anak kita saat ulang tahun tempatnya juga luas jadi cocok …",tempatnya,positif,0
"Tempatnya nyaman dan enak, selain itu bersih juga mantap pokoknya",Tempatnya,positif,0
"Mantapp, tapi saluran air ditempat cuci tangannya mampet",ditempat,negatif,0
"Tempatnya nyaman, view-nya patung kuda keren",Tempatnya,positif,0
"McDonalds Adalah tempat pilihan terbaik untuk makan dan nongkrong bareng Teman dan keluarha., udah pelayanan terbaik , tempat juga terbaik.",tempat,positif,1
"McDonalds Adalah tempat pilihan terbaik untuk makan dan nongkrong bareng Teman dan keluarha., udah pelayanan terbaik , tempat juga terbaik.",pelayanan,positif,0
"Tempatnya enak buat nongkrong2.. Lokasi strategis, deket dr rumah.. Dr dulu mc donald memang restoran favorit keluarga.. Buka 24 jam, jadi klo lagi kelaperan tengah malem ga usah bingung, tinggal cuuss kesini..",Tempatnya,positif,0
"Makanan yang disajikan begitu luar biasa enak, pelayanannya pun cepat dan higienis, serta suasana yang nyaman dan pas untuk momentum makan bersama keluarga dan sahabat.",pelayanannya,positif,0
makanan nya sangat enak enak dan berbagai macam menu yang pasti murah meriah tidak mengecewakan dompet dan rasa untuk suansanya bagus dan indh  layanan nya ramah banget baik sopan ganteng dan cantik pokoknya cocok bawa keluarga pasangan ke sini,rasa,positif,0
Tempat nyaman untuk meeting singkat dengan teman2...fasilitas memadai untuk menikmati fast food dengan menu2 yang baru...,Tempat,positif,0
