No.,Review,aspek,span,sentimen,ordinal
29,Enak si buat nongkrong sambil nugas. Makanannya ya kaya mcd pada umumnya. Tapi tempatnya yang strategis enak banget si...,tempat,tempatnya,positif,0
30,"Hari minggu kemarin mampir ke bandung, lagi pengen makan MCD di buah batu, tempatnya bersih, pelayanan sangat ramah dan cepat. Ada tempat bermain anak-anak, membuat anak-anakku betah dan nyaman makan disini. Ada drive thru dan juga dine in. Memuaskan sekali 😍 …",tempat,tempatnya,positif,1
30,"Hari minggu kemarin mampir ke bandung, lagi pengen makan MCD di buah batu, tempatnya bersih, pelayanan sangat ramah dan cepat. Ada tempat bermain anak-anak, membuat anak-anakku betah dan nyaman makan disini. Ada drive thru dan juga dine in. Memuaskan sekali 😍 …",pelayanan,pelayanan,positif,0
31,"Sangat istimewa banget.. dari pelayanan penyajian dan tempat juga bersih2 semua
Area parkir luass
Pokonya buat acara keluarga at mkn sendiri juga asyikk
Yg belom coba ayooo ke McD di jamin g bakalan nyesel dan pulang keyang 😀😀 …",pelayanan,pelayanan,positif,0
31,"Sangat istimewa banget.. dari pelayanan penyajian dan tempat juga bersih2 semua
Area parkir luass
Pokonya buat acara keluarga at mkn sendiri juga asyikk
Yg belom coba ayooo ke McD di jamin g bakalan nyesel dan pulang keyang 😀😀 …",tempat,tempat,positif,0
32,"Mantap sekali, rasa yg pas harga hemat",rasa,rasa,positif,0
32,"Mantap sekali, rasa yg pas harga hemat",harga,harga,positif,0
33,"Pelayanan DriveThru terburuk!!! Parkiran jg sempit gak bs keluar kalo batal drive thru.  Ngantri drive thru 1 jam! Gak abis pikir. Tolong deh diperbaiki. Jika memang gak bs melayani, kasi tau dan segera ditutup drpd orang menunggu lama. Tolong banget management McD buah batu diperhatikan",pelayanan,Pelayanan,negatif,0
34,"Mampir ke sini bareng temen mau makan siang, tempat nya menjorok kedalam, tatanan design nya MCD semua standard sesuai dengan kapasitas lahan nya, tempatnya juga dijaga banget kebersihannya, pelayanannya bagus, kakak-kakak pelayannya juga …",tempat,tempat,netral,0
34,"Mampir ke sini bareng temen mau makan siang, tempat nya menjorok kedalam, tatanan design nya MCD semua standard sesuai dengan kapasitas lahan nya, tempatnya juga dijaga banget kebersihannya, pelayanannya bagus, kakak-kakak pelayannya juga …",tempat,tempatnya,positif,0
34,"Mampir ke sini bareng temen mau makan siang, tempat nya menjorok kedalam, tatanan design nya MCD semua standard sesuai dengan kapasitas lahan nya, tempatnya juga dijaga banget kebersihannya, pelayanannya bagus, kakak-kakak pelayannya juga …",pelayanan,pelayanannya,positif,0
35,"Waaaw bener-bener seenak itu, bumbunya terasa banget, paraaah banget kalian harus cobaa guysss",rasa,terasa,positif,0
37,"Tempat paling enak berkumpul bersama keluarga ketika sudah penat dengan masakan² yang itu² saja. Fasilitas OK, menunya favorit dari sejak saya kecil ☺️",tempat,tempat,positif,0
38,"Apa-apaan ini pelayanannya, pesen coke float doang sampe 32 menit. Dah gitu tadi datang workernya bilang ga ready sodanya, lah aturan dari awal pas payment di kasir langsung ngomong kalo ada mulut & otak. Kek gitu lalu nyuruh aku konfir ke kasir, …",pelayanan,pelayanannya,negatif,0
39,"Tempat yang paling nyaman dengan makanan enak yang cepat saji... Suasananya nyaman cocok buat keluarga, teman ngumpul atau teman kerja",tempat,Tempat,positif,0
40,"Setelah pindah ke tempat yang baru ini, mcd tambah keyen, drivethru nya juga ada, jadi bisa pesan dari mobil langsung, ga usah turun dari mobil, cocok di masa pandemi ini, parkir cukup luas, namun berada di pas kemacetan buahbatu kalau jam jam sibuk, semoga tetap mantap produknya mcd 👍 …",tempat,tempat,positif,0
41,"Makanan menu ayam yang disukai oleh anak-anak dan orang dewasa, variasi menu juga ada selain ayam. Service cukup secara ini adalah resto fast food, tidak banyak dilayani, konsep suasana sedikit sempit karena mungkin lahan yang kurang, tapi overall love it, sebagai tempat makan bersama keluarga",tempat,tempat,positif,0
43,"Pelayanan nya oke , raman dan tempatnya juga bersih .
Penyajian cepat
Rasa ayam original nya beda dari yang lain lebih gurih .
Suasananya juga cocok buat nongkrong sama teman teman .",pelayanan,Pelayanan,positif,0
43,"Pelayanan nya oke , raman dan tempatnya juga bersih .
Penyajian cepat
Rasa ayam original nya beda dari yang lain lebih gurih .
Suasananya juga cocok buat nongkrong sama teman teman .",tempat,tempatnya,positif,0
43,"Pelayanan nya oke , raman dan tempatnya juga bersih .
Penyajian cepat
Rasa ayam original nya beda dari yang lain lebih gurih .
Suasananya juga cocok buat nongkrong sama teman teman .",rasa,Rasa,positif,0
44,"Tempat Makan Sering Banget Dsini Guys Pelayan Nya GC Ga Lama,,Kga Bosen"" ,Next Ajak Kluarga😁 …",tempat,Tempat,positif,0
45,"McDonald’s adalah menjadi restoran cepat saji dengan pelayanan terbaik di dunia. Pelayanan dan menu yang disajikan sangat sesuai dengan semua kalangan dari orang tua, dewasa remaja hingga anak-anak. …",pelayanan,Pelayanan,positif,1
46,Cocok banget buat yg gak cuma makan siap saji tapi juga cari kenyamanan tempat. Desainnya mantul gak kaleng-kaleng dan bersiiiihhh pake banget. Lahan parkirnya juga oke luas gaess. Soal pelayanan udah pasti ramah. Ada arena main anak-anak …,tempat,tempat,positif,0
46,Cocok banget buat yg gak cuma makan siap saji tapi juga cari kenyamanan tempat. Desainnya mantul gak kaleng-kaleng dan bersiiiihhh pake banget. Lahan parkirnya juga oke luas gaess. Soal pelayanan udah pasti ramah. Ada arena main anak-anak …,pelayanan,pelayanan,positif,0
47,"Makanan yang tidak perlu diragukan lagi,karna kualitas dan rasanya oke👍👍👍 …",rasa,rasanya,positif,0
48,"so one of the favorite restaurants,
Menu nya banyak fariant, terdapat tempat bermain untuk anak juga,. …",tempat,tempat,positif,0
49,"Tempatnya strategis, cozy, kids frendly salah satu mcd di bandung paling the best si menurutku. Buat tempat nongkrong juga seru, good choice lah",tempat,Tempatnya,positif,0
49,"Tempatnya strategis, cozy, kids frendly salah satu mcd di bandung paling the best si menurutku. Buat tempat nongkrong juga seru, good choice lah",tempat,tempat,positif,0
50,McDonald's memang terkenal sebagai tempat makan yang nyaman dan merindukan karena menu&rasanya tidak membosankan. Dan hargapun relatif terjangkau.,tempat,tempat,positif,0
50,McDonald's memang terkenal sebagai tempat makan yang nyaman dan merindukan karena menu&rasanya tidak membosankan. Dan hargapun relatif terjangkau.,rasa,rasanya,positif,0
50,McDonald's memang terkenal sebagai tempat makan yang nyaman dan merindukan karena menu&rasanya tidak membosankan. Dan hargapun relatif terjangkau.,harga,hargapun,positif,0
52,"Makanan enak semua, tempat nyaman, the best",tempat,tempat,positif,0
53,Rekomendasi untuk restoran yang siap saji.... Dengan pelayanan yang sangat memuaskan dan kualitas bahan-bahan yang menarik dan tempat yang sangat representatif (bersih dan keamanan produk).,pelayanan,pelayanan,positif,0
53,Rekomendasi untuk restoran yang siap saji.... Dengan pelayanan yang sangat memuaskan dan kualitas bahan-bahan yang menarik dan tempat yang sangat representatif (bersih dan keamanan produk).,tempat,tempat,positif,0
54,"Tempat ini sangat strategis dan nyaman untuk bertemu keluarga maupun teman untuk menemani bersantai dengan menu"" yg tersedia, menunya banyak yg pastinya makanan nya enak cocok bngt pelayan nya ramah2 pokkok nya recoment bngt deh 🤗 …",tempat,Tempat,positif,0
54,"Tempat ini sangat strategis dan nyaman untuk bertemu keluarga maupun teman untuk menemani bersantai dengan menu"" yg tersedia, menunya banyak yg pastinya makanan nya enak cocok bngt pelayan nya ramah2 pokkok nya recoment bngt deh 🤗 …",pelayanan,pelayan,positif,0
55,"Over all ok...
Cm kmriin pesen menu paket ,rasa ayam crispyny agak asin.. smga kedepan lebih baik lg.",rasa,rasa,negatif,0
57,"MC Donald terbaik.
. Pesenan cepat gak pake ribet
. Pelayanannya cepat …",pelayanan,Pelayanannya,positif,0
58,"Resto cepat saji satu ini emang favorit bgt sih, kebetulan kesini nuker voucher dari aplikasi mcd lumayan dpt promonya menarik bgt,segini banyak harga cuma 50rb udah plus pajak y. Jd klo mau banyak promo menarik coba download aps mcdnya y.",harga,harga,positif,0
60,"Saya sangat menyukai menu di McDonald's Karna saya penggemar Burger dan kentangnya yang membut saya ketagihan , Rasa masakan nya konsisten selalu memuaskan, dan menunya banyak pilihan bisa untuk acara apapun , sukses terus McDonald's semoga tambah cabang dimana mana bisa di jangkau 🤗 …",rasa,Rasa,positif,0
61,"Mampir makan bareng keluarga,, cukip memuaskan rasa dan pelayanan nya",rasa,rasa,positif,0
61,"Mampir makan bareng keluarga,, cukip memuaskan rasa dan pelayanan nya",pelayanan,pelayanan,positif,0
63,Suasana dan Tempat makannya keren dan pas bikin nyaman pokoknya,tempat,Tempat,positif,0
64,Macdonalds tempat makanan favorit saya sekeluarga bayak promo yang menarik istri suka anak pun suka tempat nyaman,tempat,tempat,positif,1
65,"Mc Flurry Matcha rasanya enak banget lah asli...
Tolong kasih lebih banyak cookies nya,karena itu enak banget",rasa,rasanya,positif,0
66,"Di sini termasuk store McD ternyaman, bersih, cozy.. cocok buat makan or ngemil sambil kerja. Waiters-nya juga ramah, bantu customer buat order & bayar pakai order machine. Pokonya suka, semoga McD store yang lain juga bisa sebaik di Buah Batu ini pelayanannya.. Thankss",pelayanan,pelayanannya,positif,0
67,"McDonald Bandung Buah Batu yang beralamat di Jln. Buahbatu No 183-185, Bandung 40264, Indonesia ini, tergolong tempat yang ramai dan selalu hidup. Para pengunjuang setiap hari silih berganti, bahkan ada beberapa kelompok anak muda yang sampai berjam – …",tempat,tempat,positif,0
68,"Pertama kali coba  McDonald's di gorontalo makanan enak, pelayanan sangat ramah sekali, pegwainya murah senyum 😊 dan tempatnya sangat nyaman. Kapan2 aku pengen balik lagi kesini 😘 …",pelayanan,pelayanan,positif,0
68,"Pertama kali coba  McDonald's di gorontalo makanan enak, pelayanan sangat ramah sekali, pegwainya murah senyum 😊 dan tempatnya sangat nyaman. Kapan2 aku pengen balik lagi kesini 😘 …",tempat,tempatnya,positif,0
69,"Ini mba2nya supuer helpfull, karena kesana serombongan ber10 orang, mbanya bantu take tempat, gesit ketika dimintai bantuan. …",tempat,tempat,netral,0
70,"McD paling jelek sekota Palembang, padahal di Komplek Perumahan Elit. Pelayanan lama, padahal nggak rame tapi pesanan kita baru datang setelah hampir 30 menit dari kita bayar.",pelayanan,Pelayanan,positif,0
71,"Lagi buru2,waktu ditambah hampir kesiangan persentasi, untung dekat tempat ini,jadi mampir dulu yg penting perut ke isi...",tempat,tempat,positif,0
72,"Tempat yang bagus buat kerja haha, biar lebih fokus, saran duduk di dekat parkiran mobil, karena jarang orang yang melintas, cukup ganggu",tempat,Tempat,positif,0
73,"Tempat nya nyaman bersi dan rapi..
Pelayanan nya jg oke menunya enak pas dikatong cocok ni buat ajak keluarga,kerabat,sahabat dan gebetan",tempat,Tempat,positif,0
73,"Tempat nya nyaman bersi dan rapi..
Pelayanan nya jg oke menunya enak pas dikatong cocok ni buat ajak keluarga,kerabat,sahabat dan gebetan",pelayanan,Pelayanan,positif,0
74,"Tempat nya nyaman bagi kalian yang mau rayain hari istimewa seperti ulang tahun bersama s kecil juga bisa lohh , dengan tema super hero ,pasilitas cuman mulai dari 12.500 aja loh y",tempat,Tempat,positif,0
75,"Tempat yg nyaman dan bersih  paling enak bersama teman atau keluarga besar, pacar juga boleh....",tempat,Tempat,positif,0
76,Tambah lama tambah parah pelayanan online,pelayanan,pelayanan,negatif,0
77,Tempatnya enak untuk kumpul keluarga dan cepet kalau mau take away. Bersih & dan staff nya ramah,tempat,Tempatnya,positif,0
78,"Sangat recommended deh buat temen yang ingin jajan diakhir bulan atau pas gajian pelayanan nya bagus ,suasana nya enak makanan pun enak enak walaupun selera orang beda beda hhe",pelayanan,pelayanan,positif,0
79,Makanannya enak pelayanannya cepat,pelayanan,pelayanannya,positif,0
80,"Tempatnya nyaman banget, luas juga. Cocok buat makan bareng temen, pasangan, dan juga bisa bareng keluarga besar. Ada mini playgroundnya juga. Drive thru juga bisa. Mantap banget deh pokoknya👍 …",tempat,Tempatnya,positif,0
81,Tempatnya nyaman pelayanan ramah dan makanan enak,tempat,Tempatnya,positif,0
81,Tempatnya nyaman pelayanan ramah dan makanan enak,pelayanan,pelayanan,positif,0
82,"Enak makanannya porsinya banyak sesuai dengan harga, seru juga liat pas bikin mie nya",harga,harga,positif,0
83,"Recommended bgt, tempatnya strategis dan asik buat kumpul sama teman teman",tempat,tempatnya,positif,0
84,tempat yg nyaman untuk makan..pelayanan cepat..tempat bersih dan harga tjangkau..recomended dah👍 …,tempat,tempat,positif,1
84,tempat yg nyaman untuk makan..pelayanan cepat..tempat bersih dan harga tjangkau..recomended dah👍 …,pelayanan,pelayanan,positif,0
84,tempat yg nyaman untuk makan..pelayanan cepat..tempat bersih dan harga tjangkau..recomended dah👍 …,harga,harga,positif,0
85,"Tempat nyaman, pelayanan sangatlah baik, penyajian cepat, kualitas makanan terjaga dan bersih",tempat,Tempat,positif,0
85,"Tempat nyaman, pelayanan sangatlah baik, penyajian cepat, kualitas makanan terjaga dan bersih",pelayanan,pelayanan,positif,0
86,Wah pokoknya di sini recommend banget untuk makan bersam keluarga ataupun sendiri.....luar bisa dri segi pelayanannya yg ramah dan makaananya enak enak👍👍👍 …,pelayanan,pelayanannya,positif,0
87,"Restoran ini sangat bagus, tempatnya nyaman, pelayanan yang memuaskan , ramah anak, dan cocok untuk rapat, nongkrong,",tempat,tempatnya,positif,0
87,"Restoran ini sangat bagus, tempatnya nyaman, pelayanan yang memuaskan , ramah anak, dan cocok untuk rapat, nongkrong,",pelayanan,pelayanan,positif,0
88,Enak buat tempat makan bareng sama anak2... Di kondisi covid ini... Mvd pengamanan nya bagus bngt... Jaga jarak antar meja2...,tempat,tempat,positif,0
89,"Aku sih emang tim McD, tempatnya enakeunn, bersih, mba/masnya juga sigap untuk beresin meja yg udh selesai pake",tempat,tempatnya,positif,0
90,Sebenarnya siapa yg gak suka sama mcd dan stuju kalau makanannya enak krn kita sudah terbiasa dgn rasanya. Sayangnya kasir mcd kemarin product knowledge nya sangat kurang. Garagara dia salah kasih tau saya . Saya jadi pesen yg bukan saya …,rasa,rasanya,positif,0
93,"Dari dulu sampai sekarang masih tetap terjaga rasa n pelayanan nya, ditambah sering ada promo baik online atau langsung dan klo ke Bandung suka mampir kesini👌 …",rasa,rasa,positif,0
93,"Dari dulu sampai sekarang masih tetap terjaga rasa n pelayanan nya, ditambah sering ada promo baik online atau langsung dan klo ke Bandung suka mampir kesini👌 …",pelayanan,pelayanan,positif,0
94,Pelayanan selalu memuaskan dan jika datang ke bandung selalu mampir kesini.tempat bersih dan juga menu nya yang selalu ready....,pelayanan,Pelayanan,positif,0
94,Pelayanan selalu memuaskan dan jika datang ke bandung selalu mampir kesini.tempat bersih dan juga menu nya yang selalu ready....,tempat,tempat,positif,0
95,"Setibanya di Bandung karena kita ada janjian pertemuan membahas pekerjaan maka kita mampir di restoran Mc D ini, tempat nya menjorok kedalam, tatanan design nya Mc D semua standard sesuai dengan kapasitas lahan nya. Disini memiliki tempat …",tempat,tempat,netral,1
96,"Nice. Pelayanan cepat, parkir luas. Drive",pelayanan,Pelayanan,positif,0
97,"Free wifi pastinya poin utama wkwk, tempatnya selalu penuh walaupun weekday. Pesen dari aplikasi McDonal's biar dapet potongan tambahan",tempat,tempatnya,netral,0
98,"Tempat nya rekomended sekali,nyaman,pelayanan nya bagus,makannya the best sangat buat keluarga bersantai",tempat,Tempat,positif,0
98,"Tempat nya rekomended sekali,nyaman,pelayanan nya bagus,makannya the best sangat buat keluarga bersantai",pelayanan,pelayanan,positif,0
99,"Tempat nya bersih, pelayanan sangat cepat dan ramah. Yok merapat",tempat,Tempat,positif,0
99,"Tempat nya bersih, pelayanan sangat cepat dan ramah. Yok merapat",pelayanan,pelayanan,positif,0
101,"kebersihan oke dan harganya terjangkau, pelayanan ramah... have fun makan di sini",harga,harganya,positif,0
101,"kebersihan oke dan harganya terjangkau, pelayanan ramah... have fun makan di sini",pelayanan,pelayanan,positif,0
102,"Rasanya sangat lezat saya sangat suka tempat makanan cepat saji ini, salah satu favorit saya 😍 …",rasa,Rasanya,positif,0
102,"Rasanya sangat lezat saya sangat suka tempat makanan cepat saji ini, salah satu favorit saya 😍 …",tempat,tempat,positif,0
103,"Tempatnya nyaman dan luas ada playground jg buat anak2, anak sy pling suka diajak ke MCD seperti biasa paket panas favoritnya,,chesse burger OK jg",tempat,Tempatnya,positif,0
104,"Tempatnya sangat bagus, harganya terjangkau, makanannya juga enak semua pokok nggk rugi kalau kalian kesini ayo cobain",tempat,Tempatnya,positif,0
104,"Tempatnya sangat bagus, harganya terjangkau, makanannya juga enak semua pokok nggk rugi kalau kalian kesini ayo cobain",harga,harganya,positif,0
105,"Tempatnya enak, pelayanan ramah dan cepat. Makanan sama minuman ga usah ditanya lah ya, dah pasti enak juga.",tempat,Tempatnya,positif,0
105,"Tempatnya enak, pelayanan ramah dan cepat. Makanan sama minuman ga usah ditanya lah ya, dah pasti enak juga.",pelayanan,pelayanan,positif,0
106,"Pake aplikasi banyak penawaran yang harganya cocok untuk anak kost😍 Pelayanan pun ramah, kebersihan number one. Best lah pokonya!! …",harga,harganya,positif,0
106,"Pake aplikasi banyak penawaran yang harganya cocok untuk anak kost😍 Pelayanan pun ramah, kebersihan number one. Best lah pokonya!! …",pelayanan,Pelayanan,positif,0
107,"Menu yang kami pesan rasanya enak,tempatnya bersih dan nyaman",rasa,rasanya,netral,0
107,"Menu yang kami pesan rasanya enak,tempatnya bersih dan nyaman",tempat,tempatnya,netral,0
108,"Tempat makan exclusive, dengan partber bisnis. Sangat representative. Beragam pilihan menu makanan dan minuman. Secara konsep, rasa dan suasana istimewa di Mc D sini.",tempat,Tempat,positif,0
108,"Tempat makan exclusive, dengan partber bisnis. Sangat representative. Beragam pilihan menu makanan dan minuman. Secara konsep, rasa dan suasana istimewa di Mc D sini.",rasa,rasa,positif,0
115,cepet banget pelayanan nya. Tempat nya nyaman.  Anak betah lama lama. Staff baikkkk banget dan komunikatif. Thanks,pelayanan,pelayanan,positif,0
115,cepet banget pelayanan nya. Tempat nya nyaman.  Anak betah lama lama. Staff baikkkk banget dan komunikatif. Thanks,tempat,Tempat,positif,0
116,"Beli paketan burger + kentang memang lengkap tp maaf saja kentangnya seperti kentang goreng kembali, rasanya ga fresh, keras malah pahit
Tolong dong maksimalkan mutu kualitasnya, masa mentang2 udh ramai pembeli kualitas kentang jd turun",rasa,rasanya,negatif,0
118,"pelayanan cepat dan baik
untuk makan sangat siap saji dan enak
suasana nya bersih nyaman dan anak anak biaa main di tempat permainnya",pelayanan,pelayanan,positif,0
118,"pelayanan cepat dan baik
untuk makan sangat siap saji dan enak
suasana nya bersih nyaman dan anak anak biaa main di tempat permainnya",tempat,tempat,positif,0
119,"McDonalds dpt menjadi salah satu alternatif dalam menyediakan sarapan, dengan menawarkan berbagai paket yang menarik sehingga membuat saya penasaran dngn paket menarik lainnya. Baik dari makanan, pelayanan dan suasana sangat direkomendasikan.",pelayanan,pelayanan,positif,0
120,"Tempat nya stategis dan Cozy banget, setiap acara keluarga selalu kesini terus.
Nyaman buat anak anak dan Dewasa.
Menu Ayam spicy nya bener2 Maknyus. …",tempat,Tempat,positif,0
127,tempatnya nyaman bgt buat nongkrong bareng temen dan keluarga. pelayanannya juga ramah dan cepat. harga cocok buat pelajar,tempat,tempatnya,positif,0
127,tempatnya nyaman bgt buat nongkrong bareng temen dan keluarga. pelayanannya juga ramah dan cepat. harga cocok buat pelajar,pelayanan,pelayanannya,positif,0
132,McDonald's menyajikan berbagai macam makanan yang sangat enakk sekali. Pelayanannya sangat baik dan tempatnya sangat nyaman dan bersih juga. Pokoknya enak nihh buat kesana❤❤❤,pelayanan,Pelayanannya,positif,0
132,McDonald's menyajikan berbagai macam makanan yang sangat enakk sekali. Pelayanannya sangat baik dan tempatnya sangat nyaman dan bersih juga. Pokoknya enak nihh buat kesana❤❤❤,tempat,tempatnya,positif,0
133,"Jujur agaa kecewa, padahal dari 2020 ni tempat udh jadi safeplace nya gue. Gamau review panjang lebar cuman mau saran aja masalah pelanan membantu cust nya aja",tempat,tempat,positif,0
134,"Tempat ini sangat strategis dan nyaman untuk bertemu keluarga maupun teman untuk menemani bersantai dengan menu"" yg tersedia,bisa ngemil dan bisa membicarakan soal bisnis,menunya banyak yg pastinya makanan nya enak cocok untuk memanjakan lidah 🥰🥰😍 …",tempat,Tempat,positif,0
135,"Makanan penyelamat dan paling aman buat si kecil klo lg bingung mau makan apa... menu ga pernah mengecewakan, service cepet karena memang fast food. Tempatnya juga okeee.. never failed..",tempat,Tempatnya,positif,0
136,"Tempatnya nyaman, pelayanan ramah dan cepat nnnn semua menu enak",tempat,Tempatnya,positif,0
136,"Tempatnya nyaman, pelayanan ramah dan cepat nnnn semua menu enak",pelayanan,pelayanan,positif,0
