Review,aspek,sentimen
"Hari minggu kemarin mampir ke bandung, lagi pengen makan MCD di buah batu, tempatnya bersih, pelayanan sangat ramah dan cepat. Ada tempat bermain anak-anak, membuat anak-anakku betah dan nyaman makan disini. Ada drive thru dan juga dine in. Memuaskan sekali 😍 …",pelayanan,positif
"Sangat istimewa banget.. dari pelayanan penyajian dan tempat juga bersih2 semua
Area parkir luass
Pokonya buat acara keluarga at mkn sendiri juga asyikk
Yg belom coba ayooo ke McD di jamin g bakalan nyesel dan pulang keyang 😀😀 …",pelayanan,positif
"Sangat istimewa banget.. dari pelayanan penyajian dan tempat juga bersih2 semua
Area parkir luass
Pokonya buat acara keluarga at mkn sendiri juga asyikk
Yg belom coba ayooo ke McD di jamin g bakalan nyesel dan pulang keyang 😀😀 …",tempat,positif
"Mantap sekali, rasa yg pas harga hemat",rasa,positif
"Mantap sekali, rasa yg pas harga hemat",harga,positif
"Pelayanan DriveThru terburuk!!! Parkiran jg sempit gak bs keluar kalo batal drive thru.  Ngantri drive thru 1 jam! Gak abis pikir. Tolong deh diperbaiki. Jika memang gak bs melayani, kasi tau dan segera ditutup drpd orang menunggu lama. Tolong banget management McD buah batu diperhatikan",pelayanan,negatif
"Mampir ke sini bareng temen mau makan siang, tempat nya menjorok kedalam, tatanan design nya MCD semua standard sesuai dengan kapasitas lahan nya, tempatnya juga dijaga banget kebersihannya, pelayanannya bagus, kakak-kakak pelayannya juga …",tempat,netral
"Mampir ke sini bareng temen mau makan siang, tempat nya menjorok kedalam, tatanan design nya MCD semua standard sesuai dengan kapasitas lahan nya, tempatnya juga dijaga banget kebersihannya, pelayanannya bagus, kakak-kakak pelayannya juga …",tempat,positif
"Mampir ke sini bareng temen mau makan siang, tempat nya menjorok kedalam, tatanan design nya MCD semua standard sesuai dengan kapasitas lahan nya, tempatnya juga dijaga banget kebersihannya, pelayanannya bagus, kakak-kakak pelayannya juga …",pelayanan,positif
"Waaaw bener-bener seenak itu, bumbunya terasa banget, paraaah banget kalian harus cobaa guysss",rasa,positif
"Tempat paling enak berkumpul bersama keluarga ketika sudah penat dengan masakan² yang itu² saja. Fasilitas OK, menunya favorit dari sejak saya kecil ☺️",tempat,positif
"Apa-apaan ini pelayanannya, pesen coke float doang sampe 32 menit. Dah gitu tadi datang workernya bilang ga ready sodanya, lah aturan dari awal pas payment di kasir langsung ngomong kalo ada mulut & otak. Kek gitu lalu nyuruh aku konfir ke kasir, …",pelayanan,negatif
"Tempat yang paling nyaman dengan makanan enak yang cepat saji... Suasananya nyaman cocok buat keluarga, teman ngumpul atau teman kerja",tempat,positif
"Setelah pindah ke tempat yang baru ini, mcd tambah keyen, drivethru nya juga ada, jadi bisa pesan dari mobil langsung, ga usah turun dari mobil, cocok di masa pandemi ini, parkir cukup luas, namun berada di pas kemacetan buahbatu kalau jam jam sibuk, semoga tetap mantap produknya mcd 👍 …",tempat,positif
"Makanan menu ayam yang disukai oleh anak-anak dan orang dewasa, variasi menu juga ada selain ayam. Service cukup secara ini adalah resto fast food, tidak banyak dilayani, konsep suasana sedikit sempit karena mungkin lahan yang kurang, tapi overall love it, sebagai tempat makan bersama keluarga",tempat,positif
"Pelayanan nya oke , raman dan tempatnya juga bersih .
Penyajian cepat
Rasa ayam original nya beda dari yang lain lebih gurih .
Suasananya juga cocok buat nongkrong sama teman teman .",pelayanan,positif
"Pelayanan nya oke , raman dan tempatnya juga bersih .
Penyajian cepat
Rasa ayam original nya beda dari yang lain lebih gurih .
Suasananya juga cocok buat nongkrong sama teman teman .",tempat,positif
"Pelayanan nya oke , raman dan tempatnya juga bersih .
Penyajian cepat
Rasa ayam original nya beda dari yang lain lebih gurih .
Suasananya juga cocok buat nongkrong sama teman teman .",rasa,positif
"Tempat Makan Sering Banget Dsini Guys Pelayan Nya GC Ga Lama,,Kga Bosen"" ,Next Ajak Kluarga😁 …",tempat,positif
"McDonald’s adalah menjadi restoran cepat saji dengan pelayanan terbaik di dunia. Pelayanan dan menu yang disajikan sangat sesuai dengan semua kalangan dari orang tua, dewasa remaja hingga anak-anak. …",pelayanan,positif
Cocok banget buat yg gak cuma makan siap saji tapi juga cari kenyamanan tempat. Desainnya mantul gak kaleng-kaleng dan bersiiiihhh pake banget. Lahan parkirnya juga oke luas gaess. Soal pelayanan udah pasti ramah. Ada arena main anak-anak …,tempat,positif
Cocok banget buat yg gak cuma makan siap saji tapi juga cari kenyamanan tempat. Desainnya mantul gak kaleng-kaleng dan bersiiiihhh pake banget. Lahan parkirnya juga oke luas gaess. Soal pelayanan udah pasti ramah. Ada arena main anak-anak …,pelayanan,positif
"Makanan yang tidak perlu diragukan lagi,karna kualitas dan rasanya oke👍👍👍 …",rasa,positif
"so one of the favorite restaurants,
Menu nya banyak fariant, terdapat tempat bermain untuk anak juga,. …",tempat,positif
"Tempatnya strategis, cozy, kids frendly salah satu mcd di bandung paling the best si menurutku. Buat tempat nongkrong juga seru, good choice lah",tempat,positif
"Tempatnya strategis, cozy, kids frendly salah satu mcd di bandung paling the best si menurutku. Buat tempat nongkrong juga seru, good choice lah",tempat,positif
McDonald's memang terkenal sebagai tempat makan yang nyaman dan merindukan karena menu&rasanya tidak membosankan. Dan hargapun relatif terjangkau.,tempat,positif
McDonald's memang terkenal sebagai tempat makan yang nyaman dan merindukan karena menu&rasanya tidak membosankan. Dan hargapun relatif terjangkau.,rasa,positif
McDonald's memang terkenal sebagai tempat makan yang nyaman dan merindukan karena menu&rasanya tidak membosankan. Dan hargapun relatif terjangkau.,harga,positif
"Makanan enak semua, tempat nyaman, the best",tempat,positif
Rekomendasi untuk restoran yang siap saji.... Dengan pelayanan yang sangat memuaskan dan kualitas bahan-bahan yang menarik dan tempat yang sangat representatif (bersih dan keamanan produk).,pelayanan,positif
Rekomendasi untuk restoran yang siap saji.... Dengan pelayanan yang sangat memuaskan dan kualitas bahan-bahan yang menarik dan tempat yang sangat representatif (bersih dan keamanan produk).,tempat,positif
"Tempat ini sangat strategis dan nyaman untuk bertemu keluarga maupun teman untuk menemani bersantai dengan menu"" yg tersedia, menunya banyak yg pastinya makanan nya enak cocok bngt pelayan nya ramah2 pokkok nya recoment bngt deh 🤗 …",tempat,positif
"Tempat ini sangat strategis dan nyaman untuk bertemu keluarga maupun teman untuk menemani bersantai dengan menu"" yg tersedia, menunya banyak yg pastinya makanan nya enak cocok bngt pelayan nya ramah2 pokkok nya recoment bngt deh 🤗 …",pelayanan,positif
"Over all ok...
Cm kmriin pesen menu paket ,rasa ayam crispyny agak asin.. smga kedepan lebih baik lg.",rasa,negatif
"MC Donald terbaik.
. Pesenan cepat gak pake ribet
. Pelayanannya cepat …",pelayanan,positif
"Resto cepat saji satu ini emang favorit bgt sih, kebetulan kesini nuker voucher dari aplikasi mcd lumayan dpt promonya menarik bgt,segini banyak harga cuma 50rb udah plus pajak y. Jd klo mau banyak promo menarik coba download aps mcdnya y.",harga,positif
"Saya sangat menyukai menu di McDonald's Karna saya penggemar Burger dan kentangnya yang membut saya ketagihan , Rasa masakan nya konsisten selalu memuaskan, dan menunya banyak pilihan bisa untuk acara apapun , sukses terus McDonald's semoga tambah cabang dimana mana bisa di jangkau 🤗 …",rasa,positif
"Mampir makan bareng keluarga,, cukip memuaskan rasa dan pelayanan nya",rasa,positif
"Mampir makan bareng keluarga,, cukip memuaskan rasa dan pelayanan nya",pelayanan,positif
Suasana dan Tempat makannya keren dan pas bikin nyaman pokoknya,tempat,positif
Macdonalds tempat makanan favorit saya sekeluarga bayak promo yang menarik istri suka anak pun suka tempat nyaman,tempat,positif
"Mc Flurry Matcha rasanya enak banget lah asli...
Tolong kasih lebih banyak cookies nya,karena itu enak banget",rasa,positif
"Di sini termasuk store McD ternyaman, bersih, cozy.. cocok buat makan or ngemil sambil kerja. Waiters-nya juga ramah, bantu customer buat order & bayar pakai order machine. Pokonya suka, semoga McD store yang lain juga bisa sebaik di Buah Batu ini pelayanannya.. Thankss",pelayanan,positif
"McDonald Bandung Buah Batu yang beralamat di Jln. Buahbatu No 183-185, Bandung 40264, Indonesia ini, tergolong tempat yang ramai dan selalu hidup. Para pengunjuang setiap hari silih berganti, bahkan ada beberapa kelompok anak muda yang sampai berjam – …",tempat,positif
"Pertama kali coba  McDonald's di gorontalo makanan enak, pelayanan sangat ramah sekali, pegwainya murah senyum 😊 dan tempatnya sangat nyaman. Kapan2 aku pengen balik lagi kesini 😘 …",pelayanan,positif
"Pertama kali coba  McDonald's di gorontalo makanan enak, pelayanan sangat ramah sekali, pegwainya murah senyum 😊 dan tempatnya sangat nyaman. Kapan2 aku pengen balik lagi kesini 😘 …",tempat,positif
"Ini mba2nya supuer helpfull, karena kesana serombongan ber10 orang, mbanya bantu take tempat, gesit ketika dimintai bantuan. …",tempat,netral
"McD paling jelek sekota Palembang, padahal di Komplek Perumahan Elit. Pelayanan lama, padahal nggak rame tapi pesanan kita baru datang setelah hampir 30 menit dari kita bayar.",pelayanan,positif
"Lagi buru2,waktu ditambah hampir kesiangan persentasi, untung dekat tempat ini,jadi mampir dulu yg penting perut ke isi...",tempat,positif
"Tempat yang bagus buat kerja haha, biar lebih fokus, saran duduk di dekat parkiran mobil, karena jarang orang yang melintas, cukup ganggu",tempat,positif
"Tempat nya nyaman bersi dan rapi..
Pelayanan nya jg oke menunya enak pas dikatong cocok ni buat ajak keluarga,kerabat,sahabat dan gebetan",tempat,positif
"Tempat nya nyaman bersi dan rapi..
Pelayanan nya jg oke menunya enak pas dikatong cocok ni buat ajak keluarga,kerabat,sahabat dan gebetan",pelayanan,positif
"Tempat nya nyaman bagi kalian yang mau rayain hari istimewa seperti ulang tahun bersama s kecil juga bisa lohh , dengan tema super hero ,pasilitas cuman mulai dari 12.500 aja loh y",tempat,positif
"Tempat yg nyaman dan bersih  paling enak bersama teman atau keluarga besar, pacar juga boleh....",tempat,positif
Tambah lama tambah parah pelayanan online,pelayanan,negatif
Tempatnya enak untuk kumpul keluarga dan cepet kalau mau take away. Bersih & dan staff nya ramah,tempat,positif
"Sangat recommended deh buat temen yang ingin jajan diakhir bulan atau pas gajian pelayanan nya bagus ,suasana nya enak makanan pun enak enak walaupun selera orang beda beda hhe",pelayanan,positif
Makanannya enak pelayanannya cepat,pelayanan,positif
"Tempatnya nyaman banget, luas juga. Cocok buat makan bareng temen, pasangan, dan juga bisa bareng keluarga besar. Ada mini playgroundnya juga. Drive thru juga bisa. Mantap banget deh pokoknya👍 …",tempat,positif
Tempatnya nyaman pelayanan ramah dan makanan enak,tempat,positif
Tempatnya nyaman pelayanan ramah dan makanan enak,pelayanan,positif
"Enak makanannya porsinya banyak sesuai dengan harga, seru juga liat pas bikin mie nya",harga,positif
"Recommended bgt, tempatnya strategis dan asik buat kumpul sama teman teman",tempat,positif
tempat yg nyaman untuk makan..pelayanan cepat..tempat bersih dan harga tjangkau..recomended dah👍 …,tempat,positif
tempat yg nyaman untuk makan..pelayanan cepat..tempat bersih dan harga tjangkau..recomended dah👍 …,pelayanan,positif
tempat yg nyaman untuk makan..pelayanan cepat..tempat bersih dan harga tjangkau..recomended dah👍 …,harga,positif
"Tempat nyaman, pelayanan sangatlah baik, penyajian cepat, kualitas makanan terjaga dan bersih",tempat,positif
"Tempat nyaman, pelayanan sangatlah baik, penyajian cepat, kualitas makanan terjaga dan bersih",pelayanan,positif
Wah pokoknya di sini recommend banget untuk makan bersam keluarga ataupun sendiri.....luar bisa dri segi pelayanannya yg ramah dan makaananya enak enak👍👍👍 …,pelayanan,positif
"Restoran ini sangat bagus, tempatnya nyaman, pelayanan yang memuaskan , ramah anak, dan cocok untuk rapat, nongkrong,",tempat,positif
"Restoran ini sangat bagus, tempatnya nyaman, pelayanan yang memuaskan , ramah anak, dan cocok untuk rapat, nongkrong,",pelayanan,positif
Enak buat tempat makan bareng sama anak2... Di kondisi covid ini... Mvd pengamanan nya bagus bngt... Jaga jarak antar meja2...,tempat,positif
"Aku sih emang tim McD, tempatnya enakeunn, bersih, mba/masnya juga sigap untuk beresin meja yg udh selesai pake",tempat,positif
Sebenarnya siapa yg gak suka sama mcd dan stuju kalau makanannya enak krn kita sudah terbiasa dgn rasanya. Sayangnya kasir mcd kemarin product knowledge nya sangat kurang. Garagara dia salah kasih tau saya . Saya jadi pesen yg bukan saya …,rasa,positif
"Dari dulu sampai sekarang masih tetap terjaga rasa n pelayanan nya, ditambah sering ada promo baik online atau langsung dan klo ke Bandung suka mampir kesini👌 …",rasa,positif
"Dari dulu sampai sekarang masih tetap terjaga rasa n pelayanan nya, ditambah sering ada promo baik online atau langsung dan klo ke Bandung suka mampir kesini👌 …",pelayanan,positif
Pelayanan selalu memuaskan dan jika datang ke bandung selalu mampir kesini.tempat bersih dan juga menu nya yang selalu ready....,pelayanan,positif
Pelayanan selalu memuaskan dan jika datang ke bandung selalu mampir kesini.tempat bersih dan juga menu nya yang selalu ready....,tempat,positif
"Setibanya di Bandung karena kita ada janjian pertemuan membahas pekerjaan maka kita mampir di restoran Mc D ini, tempat nya menjorok kedalam, tatanan design nya Mc D semua standard sesuai dengan kapasitas lahan nya. Disini memiliki tempat …",tempat,netral
"Nice. Pelayanan cepat, parkir luas. Drive",pelayanan,positif
"Free wifi pastinya poin utama wkwk, tempatnya selalu penuh walaupun weekday. Pesen dari aplikasi McDonal's biar dapet potongan tambahan",tempat,netral
"Tempat nya rekomended sekali,nyaman,pelayanan nya bagus,makannya the best sangat buat keluarga bersantai",tempat,positif
"Tempat nya rekomended sekali,nyaman,pelayanan nya bagus,makannya the best sangat buat keluarga bersantai",pelayanan,positif
"Tempat nya bersih, pelayanan sangat cepat dan ramah. Yok merapat",tempat,positif
"Tempat nya bersih, pelayanan sangat cepat dan ramah. Yok merapat",pelayanan,positif
"kebersihan oke dan harganya terjangkau, pelayanan ramah... have fun makan di sini",harga,positif
"kebersihan oke dan harganya terjangkau, pelayanan ramah... have fun makan di sini",pelayanan,positif
"Rasanya sangat lezat saya sangat suka tempat makanan cepat saji ini, salah satu favorit saya 😍 …",rasa,positif
"Rasanya sangat lezat saya sangat suka tempat makanan cepat saji ini, salah satu favorit saya 😍 …",tempat,positif
"Tempatnya nyaman dan luas ada playground jg buat anak2, anak sy pling suka diajak ke MCD seperti biasa paket panas favoritnya,,chesse burger OK jg",tempat,positif
"Tempatnya sangat bagus, harganya terjangkau, makanannya juga enak semua pokok nggk rugi kalau kalian kesini ayo cobain",tempat,positif
"Tempatnya sangat bagus, harganya terjangkau, makanannya juga enak semua pokok nggk rugi kalau kalian kesini ayo cobain",harga,positif
"Tempatnya enak, pelayanan ramah dan cepat. Makanan sama minuman ga usah ditanya lah ya, dah pasti enak juga.",tempat,positif
"Tempatnya enak, pelayanan ramah dan cepat. Makanan sama minuman ga usah ditanya lah ya, dah pasti enak juga.",pelayanan,positif
"Pake aplikasi banyak penawaran yang harganya cocok untuk anak kost😍 Pelayanan pun ramah, kebersihan number one. Best lah pokonya!! …",harga,positif
"Pake aplikasi banyak penawaran yang harganya cocok untuk anak kost😍 Pelayanan pun ramah, kebersihan number one. Best lah pokonya!! …",pelayanan,positif
"Menu yang kami pesan rasanya enak,tempatnya bersih dan nyaman",rasa,netral
"Menu yang kami pesan rasanya enak,tempatnya bersih dan nyaman",tempat,netral
"Tempat makan exclusive, dengan partber bisnis. Sangat representative. Beragam pilihan menu makanan dan minuman. Secara konsep, rasa dan suasana istimewa di Mc D sini.",tempat,positif
"Tempat makan exclusive, dengan partber bisnis. Sangat representative. Beragam pilihan menu makanan dan minuman. Secara konsep, rasa dan suasana istimewa di Mc D sini.",rasa,positif
cepet banget pelayanan nya. Tempat nya nyaman.  Anak betah lama lama. Staff baikkkk banget dan komunikatif. Thanks,pelayanan,positif
cepet banget pelayanan nya. Tempat nya nyaman.  Anak betah lama lama. Staff baikkkk banget dan komunikatif. Thanks,tempat,positif
"Beli paketan burger + kentang memang lengkap tp maaf saja kentangnya seperti kentang goreng kembali, rasanya ga fresh, keras malah pahit
Tolong dong maksimalkan mutu kualitasnya, masa mentang2 udh ramai pembeli kualitas kentang jd turun",rasa,negatif
"pelayanan cepat dan baik
untuk makan sangat siap saji dan enak
suasana nya bersih nyaman dan anak anak biaa main di tempat permainnya",pelayanan,positif
"pelayanan cepat dan baik
untuk makan sangat siap saji dan enak
suasana nya bersih nyaman dan anak anak biaa main di tempat permainnya",tempat,positif
"McDonalds dpt menjadi salah satu alternatif dalam menyediakan sarapan, dengan menawarkan berbagai paket yang menarik sehingga membuat saya penasaran dngn paket menarik lainnya. Baik dari makanan, pelayanan dan suasana sangat direkomendasikan.",pelayanan,positif
"Tempat nya stategis dan Cozy banget, setiap acara keluarga selalu kesini terus.
Nyaman buat anak anak dan Dewasa.
Menu Ayam spicy nya bener2 Maknyus. …",tempat,positif
tempatnya nyaman bgt buat nongkrong bareng temen dan keluarga. pelayanannya juga ramah dan cepat. harga cocok buat pelajar,tempat,positif
tempatnya nyaman bgt buat nongkrong bareng temen dan keluarga. pelayanannya juga ramah dan cepat. harga cocok buat pelajar,pelayanan,positif
McDonald's menyajikan berbagai macam makanan yang sangat enakk sekali. Pelayanannya sangat baik dan tempatnya sangat nyaman dan bersih juga. Pokoknya enak nihh buat kesana❤❤❤,pelayanan,positif
McDonald's menyajikan berbagai macam makanan yang sangat enakk sekali. Pelayanannya sangat baik dan tempatnya sangat nyaman dan bersih juga. Pokoknya enak nihh buat kesana❤❤❤,tempat,positif
"Jujur agaa kecewa, padahal dari 2020 ni tempat udh jadi safeplace nya gue. Gamau review panjang lebar cuman mau saran aja masalah pelanan membantu cust nya aja",tempat,positif
"Tempat ini sangat strategis dan nyaman untuk bertemu keluarga maupun teman untuk menemani bersantai dengan menu"" yg tersedia,bisa ngemil dan bisa membicarakan soal bisnis,menunya banyak yg pastinya makanan nya enak cocok untuk memanjakan lidah 🥰🥰😍 …",tempat,positif
"Makanan penyelamat dan paling aman buat si kecil klo lg bingung mau makan apa... menu ga pernah mengecewakan, service cepet karena memang fast food. Tempatnya juga okeee.. never failed..",tempat,positif
"Tempatnya nyaman, pelayanan ramah dan cepat nnnn semua menu enak",tempat,positif
"Tempatnya nyaman, pelayanan ramah dan cepat nnnn semua menu enak",pelayanan,positif
"Pelayanan memuaskan, enak banget saya rekomendasikan makan disini aja kualitas pasti terjamin",pelayanan,positif
"Makanan ok untuk harga terjangkau, pelayanan jg ramah dan cepat. Tempat ok buat nongkrong sama temen",harga,positif
"Makanan ok untuk harga terjangkau, pelayanan jg ramah dan cepat. Tempat ok buat nongkrong sama temen",pelayanan,positif
"Makanan ok untuk harga terjangkau, pelayanan jg ramah dan cepat. Tempat ok buat nongkrong sama temen",tempat,positif
"MC Donald terrekomend banget
- Penyajiannya sangatlah cepat gak pake ribet ini itu
- Cocok buat acara anak kita saat ulang tahun tempatnya juga luas jadi cocok …",tempat,positif
"Tempatnya nyaman dan enak, selain itu bersih juga mantap pokoknya",tempat,positif
"Mantapp, tapi saluran air ditempat cuci tangannya mampet",tempat,negatif
"Tempatnya nyaman, view-nya patung kuda keren",tempat,positif
"McDonalds Adalah tempat pilihan terbaik untuk makan dan nongkrong bareng Teman dan keluarha., udah pelayanan terbaik , tempat juga terbaik.",tempat,positif
"McDonalds Adalah tempat pilihan terbaik untuk makan dan nongkrong bareng Teman dan keluarha., udah pelayanan terbaik , tempat juga terbaik.",pelayanan,positif
"Tempatnya enak buat nongkrong2.. Lokasi strategis, deket dr rumah.. Dr dulu mc donald memang restoran favorit keluarga.. Buka 24 jam, jadi klo lagi kelaperan tengah malem ga usah bingung, tinggal cuuss kesini..",tempat,positif
"Makanan yang disajikan begitu luar biasa enak, pelayanannya pun cepat dan higienis, serta suasana yang nyaman dan pas untuk momentum makan bersama keluarga dan sahabat.",pelayanan,positif
makanan nya sangat enak enak dan berbagai macam menu yang pasti murah meriah tidak mengecewakan dompet dan rasa untuk suansanya bagus dan indh  layanan nya ramah banget baik sopan ganteng dan cantik pokoknya cocok bawa keluarga pasangan ke sini,rasa,positif
Tempat nyaman untuk meeting singkat dengan teman2...fasilitas memadai untuk menikmati fast food dengan menu2 yang baru...,tempat,positif
"bukan sekedar tempat makan siap saji, tapi juga menyediakan tempat yang nyaman, dan pelayanan yang ramah dan cepat. Next bakal kesini terus sih. Recomended",tempat,positif
"bukan sekedar tempat makan siap saji, tapi juga menyediakan tempat yang nyaman, dan pelayanan yang ramah dan cepat. Next bakal kesini terus sih. Recomended",pelayanan,positif
"Makan bersama anak lebih menyenangkan karena ada tempat bermainnya, jadi anak tidak bosan dan lebih suka makan burger dan kentang di tempat.",tempat,positif
Tempat yang nyaman untuk makan dan berkumpul bersama keluarga,tempat,positif
tempat bersih pelayanan bagus makanannya oke banget,tempat,positif
tempat bersih pelayanan bagus makanannya oke banget,pelayanan,positif
"Suka bangett ke tmpt MCD yg disinii. Semuanya gada yg mengecewakan, cozy, pelayanan baik meski banyak tanya tetap dilayani dengan sangat ramah sma karyawannya. Top bgt pokoknya 🥹 …",pelayanan,positif
"tempat makan siap saji yg selalu jadi andalan , pesanan yg lebih praktis karena pakai screen digital , fasilitas yg semakin lengkap , pelayanan yg ramah , …",tempat,positif
